scan,side,min_disk,min_cur,nl_disk,nl_cur,l20_disk,l20_cur,Qin_disk,Qin_cur
422,left,0.9053435983379976,0.9053435983379976,3,3,0.9062466276072084,0.9062466276072083,3.4107404973063993,3.4107404973063993
422,right,0.9570242747539118,0.9570242747539118,2,2,,,1.0791286895040615,1.0791286895040615
423,left,0.9560803180494616,0.9560803180494616,3,3,0.9716678803585076,0.9716678803585075,1.0959049757232064,1.0959049757232064
423,right,0.934077921284174,0.934077921284174,1,1,0.9604202989439388,0.9604202989439388,1.8109180580849211,1.8109180580849213
431,left,0.8815487558555389,0.8815487558555389,2,2,0.8815487558555389,0.8815487558555389,1.2262873158997851,1.2262873158997853
431,right,0.907260929411954,0.9072609294119541,1,1,0.9657281210436582,0.9657281210436582,0.7701553108228042,0.7701553108228042
436,left,0.9879934602907317,0.9879931853521575,3,2,,,0.58294513927731,0.5829830561265614
436,right,0.941588570331132,0.9415885703311319,0,0,,,0.6780395696639675,0.6780395696639675
448,left,0.9522060915463562,0.9526479022189595,7,6,0.9610405784685564,0.9614868741618843,2.693066318327541,2.6932055857829784
448,right,0.9255788499328652,0.9255788499328653,1,1,0.9567651243224498,0.9567651243224498,3.4694971396440706,3.4694971396440706
454,left,0.9615153474266268,0.9615153474266268,3,3,0.9760192849203686,0.9760192849203686,1.307963312347427,1.307963312347427
454,right,0.9556905776110932,0.9556905776110932,2,2,,,1.267951665632303,1.267951665632303
461,left,0.971464781828614,0.9714642218035411,4,3,,,3.444179783925118,3.4442829407890874
461,right,0.9676140076707936,0.9676140076707935,9,9,,,3.36637619942656,3.36637619942656
465,left,0.9468480135218466,0.9468480135218466,3,3,0.9518204451796536,0.9518204451796535,1.209569854312901,1.209569854312901
465,right,0.9137938506858556,0.9137938506858556,0,0,,,0.7537085606322451,0.7537085606322451
466,left,0.9605722911202698,0.9605722911202698,2,2,0.9605722911202698,0.9605722911202698,1.2441134602474917,1.2441134602474917
466,right,0.9274126638161724,0.9274126638161725,0,0,,,1.4983653004165565,1.4983653004165565
471,left,0.958579456868008,0.9585791249039689,4,3,,,2.4356177601961613,2.4357484726236693
471,right,0.9123459317567232,0.9123459317567233,1,1,0.9652704299844972,0.9652704299844972,0.7123669320165068,0.7123669320165068
473,left,0.9476934874899748,0.9476930119500516,5,4,0.957993191641725,0.9579927106117071,3.6397144416886498,3.6400973460858643
473,right,0.9557118676469236,0.9557118676469235,1,1,,,2.28938051186597,2.28938051186597
474,left,0.9641451025572746,0.9641451025572746,5,5,0.9771825033172354,0.9771825033172354,0.7588228482035021,0.7588228482035021
474,right,0.9125692710955228,0.91443907461603,3,2,0.9117236470733422,0.9135916056399761,1.0328604573251976,1.033954031189957
488,left,0.957826657051606,0.9578266570516061,7,7,0.9701752430253644,0.9701752430253645,5.492474095446941,5.492474095446941
488,right,0.9428559757664392,0.9428559757664392,4,4,0.9492674045793044,0.9492674045793043,3.2004614698941247,3.2004614698941247
496,left,0.9198035863282104,0.9198035863282104,3,3,0.9253736255783224,0.9253736255783223,2.51810446413106,2.51810446413106
496,right,0.9069616720897364,0.9069616720897365,1,1,0.9669638775264274,0.9669638775264274,1.09472382872571,1.09472382872571
